observacao_id,coord_x_4674,coord_y_4674,argila_naoh_pipeta
sm-dnos-279,-53.805625,-29.640199,43
sm-dnos-280,-53.799526,-29.640821,94
sm-dnos-281,-53.799216,-29.643972,116
sm-dnos-282,-53.808783,-29.62472,235
sm-dnos-283,-53.807754,-29.622186,313
sm-dnos-284,-53.810271,-29.619944,335
sm-dnos-285,-53.81328,-29.621779,265
sm-dnos-286,-53.813476,-29.624584,42
sm-dnos-287,-53.811515,-29.625887,168
sm-dnos-288,-53.793397,-29.643112,252
sm-dnos-289,-53.794785,-29.644984,296
sm-dnos-290,-53.79614,-29.64296,102
sm-dnos-291,-53.797432,-29.645902,124
sm-dnos-292,-53.805281,-29.605145,273
sm-dnos-293,-53.802114,-29.626737,313
sm-dnos-294,-53.787525,-29.625315,347
sm-dnos-295,-53.787066,-29.630181,202
sm-dnos-296,-53.785893,-29.631712,262
sm-dnos-297,-53.781947,-29.633002,296
sm-dnos-298,-53.778198,-29.633508,170
sm-dnos-299,-53.776262,-29.634397,146
sm-dnos-300,-53.779644,-29.640146,121
sm-dnos-301,-53.781591,-29.638951,119
sm-dnos-302,-53.779321,-29.636665,61
sm-dnos-303,-53.782053,-29.629925,256
sm-dnos-304,-53.781895,-29.646936,117
sm-dnos-305,-53.78165,-29.643288,65
sm-dnos-306,-53.783971,-29.641426,72
sm-dnos-307,-53.78928,-29.645178,88
sm-dnos-308,-53.801995,-29.643462,60
sm-dnos-309,-53.798483,-29.638399,145
sm-dnos-310,-53.796176,-29.636379,128
sm-dnos-311,-53.796364,-29.634465,78
sm-dnos-312,-53.801775,-29.631777,246
sm-dnos-313,-53.798727,-29.631263,195
sm-dnos-314,-53.796921,-29.625943,344
sm-dnos-315,-53.793425,-29.628681,241
sm-dnos-316,-53.796474,-29.630243,229
sm-dnos-317,-53.798254,-29.629007,153
sm-dnos-318,-53.802661,-29.635847,202
sm-dnos-319,-53.803755,-29.637746,191
sm-dnos-320,-53.802998,-29.639039,224
sm-dnos-321,-53.801426,-29.638301,147
sm-dnos-322,-53.799553,-29.635547,197
sm-dnos-323,-53.802428,-29.641051,183
sm-dnos-324,-53.787873,-29.625082,190
sm-dnos-325,-53.786644,-29.62871,51
sm-dnos-326,-53.788389,-29.628381,27
sm-dnos-327,-53.788474,-29.626886,62
sm-dnos-328,-53.788732,-29.626399,10
sm-dnos-329,-53.788224,-29.627674,163
sm-dnos-330,-53.789644,-29.627991,85
sm-dnos-331,-53.790217,-29.627805,55
sm-dnos-332,-53.79037,-29.622202,412
sm-dnos-333,-53.793849,-29.623116,262
sm-dnos-334,-53.794571,-29.623717,134
sm-dnos-335,-53.795534,-29.62455,104
sm-dnos-336,-53.797046,-29.626271,273
sm-dnos-337,-53.796533,-29.626693,238
sm-dnos-338,-53.797059,-29.628048,284
sm-dnos-339,-53.799666,-29.627511,165
sm-dnos-340,-53.795503,-29.629005,245
sm-dnos-341,-53.805933,-29.641887,60
sm-dnos-342,-53.806853,-29.642282,58
sm-dnos-343,-53.807792,-29.64265,74
sm-dnos-344,-53.808722,-29.643027,61
sm-dnos-345,-53.809662,-29.643413,62
sm-dnos-346,-53.80773,-29.640775,193
sm-dnos-347,-53.808717,-29.640989,161
sm-dnos-348,-53.809787,-29.641237,156
sm-dnos-349,-53.81069,-29.641407,114
sm-dnos-350,-53.811657,-29.641666,118
sm-dnos-351,-53.807954,-29.649601,64
sm-dnos-352,-53.808951,-29.649417,59
sm-dnos-353,-53.809981,-29.649341,42
sm-dnos-354,-53.811022,-29.649265,117
sm-dnos-355,-53.812053,-29.649189,53
sm-dnos-356,-53.815417,-29.632819,167
sm-dnos-357,-53.814453,-29.632308,43
sm-dnos-358,-53.813526,-29.632003,208
sm-dnos-359,-53.812514,-29.631627,88
sm-dnos-360,-53.811566,-29.631305,46
sm-dnos-361,-53.787474,-29.623597,549
sm-dnos-362,-53.786729,-29.62428,345
sm-dnos-363,-53.786023,-29.624881,360
sm-dnos-364,-53.785329,-29.625572,283
sm-dnos-365,-53.784594,-29.626228,397
sm-dnos-366,-53.775854,-29.637668,128
sm-dnos-367,-53.775065,-29.638261,134
sm-dnos-368,-53.774265,-29.638837,155
sm-dnos-369,-53.773475,-29.639413,184
sm-dnos-370,-53.772686,-29.639998,225
sm-dnos-371,-53.791783,-29.651431,140
sm-dnos-372,-53.790984,-29.652034,111
sm-dnos-373,-53.790196,-29.652664,116
sm-dnos-374,-53.789439,-29.653311,85
sm-dnos-375,-53.788711,-29.653849,62
sm-dnos-376,-53.798455,-29.616411,284
sm-dnos-377,-53.798779,-29.617297,410
sm-dnos-378,-53.79908,-29.618103,366
sm-dnos-379,-53.799403,-29.618962,346
sm-dnos-380,-53.799727,-29.619839,345
sm-dnos-381,-53.809508,-29.627858,217
sm-dnos-382,-53.808711,-29.628533,270
sm-dnos-383,-53.80789,-29.629073,77
sm-dnos-384,-53.807069,-29.629605,188
sm-dnos-385,-53.806321,-29.63018,188
sm-dnos-386,-53.817653,-29.645264,314
sm-dnos-387,-53.816633,-29.644952,187
sm-dnos-388,-53.815736,-29.644637,229
sm-dnos-389,-53.814786,-29.644251,42
sm-dnos-390,-53.813846,-29.643883,137
sm-dnos-391,-53.803137,-29.613651,337
sm-dnos-392,-53.802267,-29.613174,287
sm-dnos-393,-53.801399,-29.612732,218
sm-dnos-394,-53.800487,-29.612246,237
sm-dnos-395,-53.799588,-29.611823,324
sm-dnos-396,-53.806504,-29.610721,347
sm-dnos-397,-53.806146,-29.611576,354
sm-dnos-398,-53.805798,-29.61245,244
sm-dnos-399,-53.805428,-29.61326,217
sm-dnos-400,-53.805081,-29.614124,306
